question,references,corpus_id
What feature in Notion allows items to be prioritized at the top of the sidebar?,"[{""content"": ""You canFavoriteitems to have them appear at the top of your sidebar"", ""start_index"": 647, ""end_index"": 714}]",raw_articles/article_45.txt
What is the purpose of the sidebar in Notion?,"[{""content"": ""Learn how to find pages using the sidebar and customize it to meet your needs"", ""start_index"": 129, ""end_index"": 206}, {""content"": ""In Notion, pages can house other pages. You can see nested pages by clicking the dropdown on any page in your sidebar"", ""start_index"": 211, ""end_index"": 328}]",raw_articles/article_46.txt
How can you view nested pages in Notion?,"[{""content"": ""In Notion, pages can house other pages. You can see nested pages by clicking the dropdown on any page in your sidebar"", ""start_index"": 211, ""end_index"": 328}]",raw_articles/article_46.txt
What feature allows the use of Loom videos in project plans within Notion?,"[{""content"": ""Using data: EmbedsLearn how to use embeds in Notion and incorporate Loom videos into a project plan"", ""start_index"": 715, ""end_index"": 814}]",raw_articles/article_47.txt
What Notion feature is emphasized for organization during a content calendar creation for a marketing team?,"[{""content"": ""Using data: Intro to databasesGet started with databases, one of Notion\u2019s most powerful features for organization, by creating a content calendar for a marketing team"", ""start_index"": 286, ""end_index"": 452}]",raw_articles/article_47.txt
What does the Notion course provide to help new hires?,"[{""content"": ""Using data: Onboarding knowledge baseCreate a one-stop-shop for all new hire information that pulls in important information from all of the tools your team is using"", ""start_index"": 948, ""end_index"": 1113}]",raw_articles/article_47.txt
What types of databases has Notion's course advised integrating?,"[{""content"": ""Using data: Database syncLearn how to sync entire databases from tools like Jira and GitHub to more centrally manage your work"", ""start_index"": 1234, ""end_index"": 1360}]",raw_articles/article_47.txt
How can Notion users manage meetings effectively using databases?,"[{""content"": ""Using data: Meeting notesWith your new database skills, architect a meeting notes database your whole team can operate from"", ""start_index"": 587, ""end_index"": 710}]",raw_articles/article_47.txt
What automation capability is featured in the Notion course?,"[{""content"": ""Using data: AutomationsInstall and use connections by creating a Typeform that auto-populates a Notion database"", ""start_index"": 1118, ""end_index"": 1229}]",raw_articles/article_47.txt
What is the purpose of the Notion Academy course on using data?,"[{""content"": ""Welcome to Notion\u2019s course on using data!"", ""start_index"": 125, ""end_index"": 166}]",raw_articles/article_48.txt
What types of unique property types can Notion databases include?,"[{""content"": ""Some unique property types include dates, emails, and URLs"", ""start_index"": 515, ""end_index"": 573}]",raw_articles/article_49.txt
How might databases appear when compared to spreadsheets?,"[{""content"": ""Databases might look like the typical spreadsheet, but they\u2019re way more powerful"", ""start_index"": 278, ""end_index"": 358}]",raw_articles/article_49.txt
How can you duplicate an inline database in Notion?,"[{""content"": ""For inline databases:Hover over the database, then select\u22ee\u22ee.SelectDuplicate"", ""start_index"": 4301, ""end_index"": 4376}, {""content"": ""You can choose toDuplicate with contentor, if you want to use the same database setup to organize other pages,Duplicate without content"", ""start_index"": 4378, ""end_index"": 4513}]",raw_articles/article_16.txt
What are the options for managing the visibility of property fields in a Notion database page?,"[{""content"": ""Forproperties, you can use this menu to choose which property fields you want to show at the top of the page, and how. For each one, select from:Always show:Nothing changes, you continue to see the property field.Hide when empty:The property field will disappear from the top of your page if it has no value in it.Always hide:The property field will not show up at the top of your page"", ""start_index"": 7370, ""end_index"": 7755}]",raw_articles/article_16.txt
How can you transition a full page database into an inline database?,"[{""content"": ""To turn a full page database into an inline database, drag the database into another page in the sidebar, which will turn it into a subpage. Then navigate into the page, and select\u22ee\u22ee\u2192Turn into inline"", ""start_index"": 3536, ""end_index"": 3735}]",raw_articles/article_16.txt
How can Notion AI assist in generating content for a project plan?,"[{""content"": ""Generate content from scratch with Notion AI by asking for a list of tasks needed to complete your project"", ""start_index"": 247, ""end_index"": 353}]",raw_articles/article_42.txt
What should you do after completing the Notion Academy course on projects?,"[{""content"": ""When you finish this course on projects, return to Notion Academy to check out our course on \u201cGetting started with AI\u201d"", ""start_index"": 587, ""end_index"": 705}]",raw_articles/article_42.txt
